,,,
"Shamima Begum's lies v reality: ISIS bride claims she'd never seen an execution video, denies going to terror training camp and said she 'thought she was going to an Islamic utopia'","Shamima Begum has made a fresh plea to be allowed back into Britain after being stripped of her citizenship for travelling to Syria to join ISIS. In a new BBC documentary that aired last night, she once again denies knowing anything about the terror group's atrocities before leaving London and insists that after joining she was more of a 'burden' than an active participant. She tells a similar story in I'm Not A Monster, a controversial 10-part BBC podcast that investigates what happened to her after she left her home in Bethnal Green with two school friends in February 2015. However, her case is undermined by a series of inconsistencies that suggest she has twisted the truth. These range from whether she knew of ISIS atrocities before fleeing the UK to her account of what she did after arriving in Raqqa.Below, we reveal the contradictions in her version of events -    Begum repeatedly claims she 'did not know' about ISIS atrocities before leaving London and believed it was an Islamic 'utopia'. She also insists she did not watch any violent propaganda videos, such as the beheadings of hostages.  'I didn't know about these atrocities because as a 15-year-old I didn't watch the news,' Begum says. 'I got my news on social media where people were saying this is untrue, it's an exaggeration.'Broadcaster Josh Baker points out that the videos were all over social media as well as the news.  She replies: 'But they were constantly being taken down and like being deleted so it was very hard to watch these videos.'And the people who I was talking to who were in ISIS didn't send these videos either.'This was despite comments she made in 2019 to the BBC's Middle East correspondent, Quentin Sommerville, who asked her: 'One of the reasons you joined IS is because you watched some beheading videos, is that right?'She replied: 'Not just the beheading videos, the videos that show families and stuff in the park. 'The good life that they can provide for you. Not just the fighting videos, but yeah the fighting videos as well I guess.'This audio was played back on the podcast, before Baker asked her: 'You've said previously that you did watch ISIS propaganda in London... you said you were aware of the fighting and brutality of ISIS before you left'.'No,' she replied.Tim Loughton, Tory MP on the Home Affairs Select Committee, told the BBC documentary: 'I don't believe her and no reasonable person would. 'However much you're a teenager watching the Kardashians at home and doing a load of stuff on social media nobody - particularly three intelligent students from East London - could have been absolutely oblivious to the horrors being waged by Daesh in Syria at that time.' The documentary sees Begum deny reports she helped stitch ISIS terrorists into their suicide vests. Asked if she was trained by ISIS she replies, 'No'. When Baker doubles down and asks 'at any time during your life in ISIS were you given any form of either religious training or weapons training?' she again says 'no'.However, she is contradicted by Um Khaled, a former member of Hisbah - the terror group's notorious religious police. She recalls seeing Begum in a training camp. 'We were in a training camp. They were only girls of course so didn't have their Niqab on. So that's when I saw her face,' Khaled explains. 'All the girls who join ISIS for the first time are enlisted in this camp. Sometimes there would be religious studies and sometimes they introduced weapons training.'The jihadi bride describes how she stayed with the family of a 'really nice' Egyptian man in Raqqa after her husband was briefly imprisoned. Baker says he asked her about the man, who's name was Abu Qomra, repeatedly over six interviews.She gives a variety of answers, at first claiming she can't know his name, then saying his real name was Saeed.And she says: 'He was really nice to me, like a father figure.'However, a neighbour who supplied Qomra with electricity says he supplied ISIS with weapons.  'He was a vicious person and spoke in an aggressive manner. He was bad - bad in the full sense of the word,' the neighbour says. 'If she was living with him she would have known all the details of his life. It's impossible she didn't know.'Huda Mukbil, a senior Canadian intelligence officer from 2001 to 2017, suggests Begum may have denied knowing the man's real identity to avoid guilt by association. 'There's fear, there's trauma. This association in itself could mean that people could see her as a threat,' she says. 'There are also consequences in terms of what she's able to freely say knowing that any information can also incriminate her.' Begum explains that the ISIS 'capital city' Raqqa seemed 'normal'. 'It was kind of like how I imagined. Everything was functioning and stuff like it was normal life,' she says. She also denies witnessing any public executions because her husband did not allow her to go outside. But in a previous interview with The Times, she described how she saw severed heads in bins. 'When I saw my first severed head in a bin it didn't faze me at all,' she said. 'It was from a captured fighter seized on the battlefield, an enemy of Islam. I thought only of what he would have done to a Muslim woman if he had the chance.'      ",https://www.dailymail.co.uk/news/article-11726851/Shamima-Begums-lies-v-reality-ISIS-brides-story-challenged.html,
GAP,GAP,GAP,
NOT COVERED,BY LEFT,AND NOT COVERED BY CENTRE,
‘Porn passports’ to be rolled out in France to verify age of users in world-first move… could it come to UK?,"FRANCE is set to be the first country to force internet users to prove they are over 18 to access sex websites. The so-called ""porn passports"" will be rolled out by September under plans drawn up by the country's digital minister, Jean-Noel Barrot. At the moment in France, people only have to click a button to confirm they are older than 18. But within months users will have to download a government phone application that will give them a digital certificate and code. To access explicit material, the code will need to be entered, Le Parisien reports. Barrot said the system will ""work a bit like the checks from your bank when you buy something online"". He added: ""2023 will mark the end of our children accessing pornographic sites. ""I mean to end this scandal. I intend to have this law respected once and for all."" If websites do not comply with the age verification protocol, they could be banned. It comes as the UK eyes up a potential move to age verification as Tory MPs demand tougher checks on those accessing porn. They have demanded an amendment to the Online Safety Bill before it is put to Parliament, that would force sites where kids can see porn to have age verification within six months. It would cover sites such as Pornhub as well as user-generated platforms including OnlyFans. The proposed amendment is supported by 14 charities. A spokesman for the Department for Digital, Culture, Media and Sport said: “The Bill already has comprehensive and world-leading provisions in it to tackle underage access to online pornography.  ""Any site hosting pornography will have to put in place robust measures such as age verification to prevent underage access or face huge fines."" A survey of 1,000 youngsters revealed children as young as nine are watching graphic material online. But it also showed how the majority, 41 per cent, asked accessed sexual content on Twitter rather than adult sites. Meanwhile, parents have been urgently warned that their children can access porn and be exposed to fake health advice on TikTok. An investigation by the Sunday Telegraph uncovered videos accessible by kids that contain links to porn, self-harm, and dangerous health advice. ",https://www.thesun.co.uk/news/21307661/porn-passports-france-world-first/,
Porn passports which prove you are over 18 will be required to access sex websites in France in world first,"France is set to introduce 'porn passports' to prove a person is over 18 while accessing sex websites - in a world first that aims to prevent children from viewing explicit material. The plan by Jean-Noel Barrot, France's digital minister, will be enforced by September in the latest round of a years-long struggle to protect minors on the internet. Under the new proposal, those wanting to access explicit material will need to download a government phone application that provides them with a digital certificate and code, the Parisien reported. The code will be needed to access a porn website under a system 'which will work a bit like the checks from your bank when you buy something online,' Barrot told the newspaper.'2023 will mark the end of our children accessing pornographic sites,' he added.He said: 'I mean to end this scandal. I intend to have this law respected for once and for all.' Websites could be banned if they do not comply with the age verification regulations. The new law in France follows debate in the UK over amendments to the Online Safety Bill.Tory MPs have written to culture secretary Michelle Donelan to demand tougher age checks for those watching pornography. It is understood that more changes to the bill will be announced before it is put to Parliament, which is expected to be within the next month. The bill will include people smuggling, hate crimes, fraud and revenge porn as 'priority' illegal content. The debate followed the revelation that children as young as nine are being exposed to graphic material on the internet, according to a survey of 1,000 young people. Rather than adult websites, Twitter was the site where the highest proportion of young people – 41 per cent – accessed sexual content.Despite allowing users to set up an account aged 13, it is one of the few social media giants to still allow adult content, provided it is marked sensitive.France's data protection and media regulators Cnil and Arcom are set to announce their latest proposals to rein in porn websites which are in theory subject to a 2020 law requiring age verification.Previous attempts have been held up by privacy and technical concerns, as well as court action by the websites.To its frustration last September, a Paris court ordered Arcom to enter into mediation with several porn websites including market leader Pornhub, holding up efforts to block them.In France currently people have to click a button confirming that they are over the age of 18 - but there are no other checks.  President Emmanuel Macron, who is married to former school teacher Brigitte Macron, promised to make protecting children from porn a priority during his bid for re-election last year.In November, he launched the Children Online Protection Laboratory, an initiative that aims to bring together industry giants and researchers to look for ways to shield minors online.In September last year, a report entitled 'Hell Behind the Scenes' by French senators concluded that there was 'massive, ordinary and toxic' viewing of porn by children.The report found that two thirds of children aged 15 or less had seen pornographic content.The French production industry has been roiled by a series of sexual assault cases in recent years in which women have come forward to allege rape, mistreatment and manipulation by directors and fellow actors.",https://www.dailymail.co.uk/news/article-11721729/France-introduce-porn-passports-verify-age.html,
GAP,GAP,GAP,
NOT COVERED,BY LEFT,AND NOT COVERED BY CENTRE,
BBC boss blasts the TV licence fee as a ‘regressive’ tax,"THE BBC’s chairman has blasted the TV licence fee as a “regressive” tax. Richard Sharp yesterday admitted the £159 annual charge penalised the poor, women and pensioners. The Corporation’s chairman was asked by MPs if he still believed the telly tax funding model was the “least worst option”. Mr Sharp replied: “There are issues with the licence. “It’s regressive. In some ways it’s considered anachronistic because there are other countries that adopt other mechanisms. “And there are a number of issues in terms of how we collect the licence fee for pensioners and also issues arising from people’s failure to pay the licence for example, with respect to gender issues, so it is imperfect.” Campaigners argue women are overwhelmingly prosecuted over non-payment as they are usually at home when enforcers call. The government is carrying out a review of the Beeb’s funding, including whether a mandatory fee — which has been frozen for two years — is best. Mr Sharp agreed the BBC must “contribute to that discussion when it arises”. Rebecca Ryan, of Defund the BBC, said: “It is welcome to hear Richard Sharp admit significant issues with the TV licence.  ""People should not be forced to pay, through discriminatory practices, for an organisation out of touch with vast swathes of the country.” ",https://www.thesun.co.uk/news/21310494/bbc-boss-blast-tv-tax-unfair/,
"BBC licence fee is ‘regressive’ and unfairly penalises women, corporation chairman admits as he says he is open to alternative ideas for funding","The BBC’s chairman has branded the licence fee ‘regressive’ and ‘anachronistic’ as he highlighted how it disproportionately penalises women.Richard Sharp admitted the current funding model for the corporation was ‘imperfect’ and pointed out that other countries were adopting ‘other mechanisms’ such as ‘household taxes’ to pay for public service broadcasting.He said he did not currently have a ‘preferred option’ for funding the BBC, but pointed to issues with the current system, including ‘gender issues’ around people’s failure to pay. Those prosecuted for licence fee evasion are disproportionately female.The BBC boss made the comments to the digital, culture, media and sport committee today.He was there to answer questions about whether he helped facilitate a loan for Boris Johnson before the then Prime Minister backed his appointment to the BBC.In 2021, when Mr Sharp appeared in front of the committee, the BBC boss had described the licence fee as the ‘least worst’ option, but that he had an open mind about its future.Yesterday, he was asked by one MP if he still felt the same way about the licence fee.He replied: ‘There are issues with the licence fee. It’s regressive. In some ways it’s considered anachronistic.‘There are other countries [that] adopt other mechanisms. There are a number of issues in terms of how they fall on individuals.‘Both in terms of how we collect the licence fee, for example pensioners, and also the issues arising from people’s failure to pay the licence fee, including for example how that falls with respect to gender issues.‘So it is imperfect and other countries are adopting household taxes, there are some broadband taxes. There are different ways to ensure that a public service broadcaster is separately funded.’He added: ‘I don’t have a preferred option now and I also think that the BBC should contribute to that discussion when it arises.’Last year, then culture secretary Nadine Dorries signalled the death knell for the licence fee by saying the Government was ‘ready to implement a new way of funding the BBC’.She had then announced a forthcoming review into the BBC’s future funding model.Miss Dorries’ successor Michelle Donelan had also effectively written off the current licence fee model, telling MPs in December it was not ‘sustainable’ in the long term.Miss Donelan was moved to a new role in yesterday’s cabinet reshuffle, with Lucy Frazer named as the new culture secretary.In July last year, a report by peers said that the licence fee was ‘regressive’ and should be replaced with a ‘viable alternative’ system.Members of the House of Lords communications and digital committee had warned the corporation faced ‘stagnation and decline’ if it did not come up with a ‘bold’ new plan for its future.Last year, veteran BBC broadcaster David Dimbleby also called for the licence fee to be changed so the rich pay more for it and the poor pay less. He said what people pay should be based on the council tax band system, as the current one is ‘manifestly unfair’.",https://www.dailymail.co.uk/news/article-11723893/BBC-licence-fee-regressive-unfairly-penalises-women-chairman-admits.html,
GAP,GAP,GAP,
NOT COVERED,BY LEFT,AND NOT COVERED BY CENTRE,
"Sex monster, 31, who pretended to be boxing champion Tyson Fury's cousin to seduce women he then raped and tormented with sickening sex attacks is jailed for 27 years","A 'monster' who pretended to be the cousin of boxing champion Tyson Fury in an effort to seduce and rape women has been jailed for 27 years.David Overton, 31, was convicted of 25 offences, several involving sex crimes, after he reinvented himself as 'Davy Fury,' an up-and-coming heavyweight boxer.Overton began his violent affairs with three victims after he ditched his previous fake persona as a multi-millionaire wheeler-dealer inspired by the Leonardo DiCaprio's character in the 2013 film The Wolf of Wall Street.The latest victims to fall under Overton's spell were initially besotted with him but he began controlling their lives before using his bulk and menace to force himself on them on repeated occasions, a court has heard.Overton - who is also known as David Fury-Walsh - repeatedly raped three women and subjected them to campaigns of horrific abuse after portraying himself as a 'caring and generous man'.He controlled one victim's contact with friends, took her money and even made her eat faeces and film herself drinking urine after subjecting her to sadistic sex ordeals. Another victim was raped at a hotel following a charity function while a third was forced to have intercourse with Overton after he head-butted her during an assault.Police said he controlled the women's finances, taking out loans in their names and manipulating them into handing over their savings on the promise that there would be a big return, which never emerged. In a statement one of the victims, a successful businesswoman, told Chester Crown Court: 'Initially David saw himself as a character inspired by the The Wolf of Wall Street but then he created this new Fury character.'What this man put me through is by far the worst thing I have ever experienced. I was used for my money so he could carry out some sick, twisted fantasy.'The bruises may fade but the psychological scars never will. Even when I sleep he still towers over me, all 6ft 5in of him.'She claimed that Overton was a 'monster in size and nature' who has left her suffering flashbacks. She said the abuse - and its lasting impacts - was so bad that 'sometimes I wish he did kill me'.'This man is no Tyson Fury - he has no regard for any human or animal. His next victim may not be so lucky,' she said.Another victim shared how she had to change her hairstyle so her fringe would 'cover the permanent forehead scar that David gave me'.'I used to be such an extrovert but now I am the complete opposite,' the victim said. A third woman, a police worker, said in a statement: 'I can't count on my fingers the number of times he threatened to shoot me, my family and friends. 'I was so scared when he said that he was going to need a body bag and a cleanup crew to come to my address.'She told the court that Overton would punch, kick and shout at her, adding that she would 'get told off for flinching' during the apparent assaults.The woman also claimed that her dog was 'affected' by Overton's acts of violence and 'will need training to correct his behaviour'.The investigation into Overton began in September 2021 when one of the victims went to Cheshire Police.He was arrested within hours of the report, and while he was in custody two other women became aware of his arrest and built up the courage to report that they were also victims of his abusive and controlling behaviour.Overton denied all the charges but was found guilty by a jury following a four-week trial at Chester Crown Court.He was convicted of 25 offences including 13 counts of rape, four counts of sexual assault, three counts of controlling and coercive behaviour, three counts of actual bodily harm, one count of sexual touching and possession of a knife. Following his release from jail he will be on licence until 2056. The court heard he had 13 previous dishonesty offences on his record under nine different aliases.Sentencing Judge Michael Leeming told him: 'All three women allowed you into their lives and in return you treated them with sustained violence and abuse. You yourself admitted you were a control freak - but insisted that you always respected women.'However these were not respectful actions and in your words, these women were no match for you. The trust, confidence and faith in human nature these victims once had would have not been damaged were it not for your relationships with them.'You do show clear tropes of narcissism and you are a compulsive liar. You pose a significant risk of harm to women and any future women you have relationships with.'Overton had assumed the persona of David Fury-Walsh after he used steroids to bulk up in a gym, got himself a face tattoo, shaved his head and dyed his ginger beard black.As part of his trumped-up claims to be a relative of two-time world heavyweight champion Fury, Overton popped up on social media interviews with boxing blogs in which he talked of 'working for his dream'.One detailed how he had 'worked from the age of 13 to provide for his siblings then gone down the wrong path and prison,' before embarking on the 'road to recovery with glory in his sights'.He also told his victims he hailed from a tough travelling community in Salford, Greater Manchester and once worked as an enforcer for a drugs gang. Overton claimed he was vowing to go straight after a three-year stretch in prison for handling dirty money, Chester Crown Court heard.But in reality the 6ft 5in conman grew up in a council house in Congleton, Cheshire.He underwent his most recent image change after being convicted of fraud following a scheme in which he offered a non-existent £20,000-a-year finance job to a gullible young woman in return for a £1,000 investment in his business. The conman claimed at the time he was a multi-millionaire tycoon who ran a finance firm, MinotaurFX, from a head office in Canary Wharf and held a £1.4billion fund. Overton's own mother eventually rubbished his claims about being Fury’s cousin.David Polglase, prosecuting, told the trial: 'He appears to have been engaging and wildly generous to start, but also soon showed various darker traits, and was not honest about his background, including playing on supposed links to Tyson Fury.'His behaviour was coercive, controlling, violent and descended into sexual offending. All three victims describe sexual activity based on, at best, submission or acquiescence and at worst violence, fear and coercion.He added: 'The defendant is a violent and manipulative bully. He is someone who has to be in control of a situation. He is a fantasist. He is a man who wants his own way. 'He is a man who does not take ""no"" for an answer. He has been shown to be that kind of person, with no respect for women, by the three complainants in this case.'Overton's lawyer William Staunton said: 'He is not a psychopath but a troublesome man. He was on steroids at the time and this affected his ability to control his emotions.'",https://www.dailymail.co.uk/news/article-11721613/Sex-monster-31-pretended-Tyson-Furys-cousin-seduce-women-jailed-27-years.html,
"Violent rapist, 31, who claimed to be Tyson Fury’s ‘cousin’ and forced victims to eat their own poo is jailed","A VIOLENT rapist who claimed to be Tyson Fury's cousin and forced his victims to eat their own poo, has been jailed. The ""monster"" David Overton, 31, seduced three victims before sexually assaulting them. Overton's violent affairs began when he ditched his fake multi millionaire persona and reinvented himself a ""Davy Fury"". The conman used steroids to help bulk up and began falsely claiming he was the boxing champ's relative - which his mother soon rubbished. In reality, he grew up on a council estate in Congleton, Cheshire, and had a previous conviction for fraud.  He has today been given 27 years for his horrific acts against women. One woman was forced to eat faeces and drink urine after being subjected to traumatising sex ordeals. Another one of Overton's victims was raped at a hotel after a charity function. The third was forced to have sex with Overton after he headbutted her. Cops say he controlled the women’s finances, took out loans in their names and manipulated them into handing over their savings. In a statement one of the victims said she suffers flashbacks and wish Overton had killed her. The statement read: “Initially David saw himself as a character inspired by the Wolf of Wall Street but then he created this new Fury character. ''What this man put me through is by far the worst thing I have ever experienced.  ""I was used for my money so he could carry out some sick twisted fantasy. “The bruises may fade but the psychological scars never will. ""Even when I sleep he still towers over me, all 6”5 of him. He is a monster in size and a monster in nature.  ""I suffer flashbacks whilst washing up and cleaning the house and sometimes I wish he did kill me. ''This man is no Tyson Fury - he has no regard for any human or animal. His next victim may not be so lucky.” Another victim said: “I changed my hairstyle so that my new fringe covers the permanent forehead scar that David gave me.  ""I used to be such an extrovert but now I am the complete opposite.'' The third woman said in a statement: ''I can’t count on my fingers the number if times he threatened to shoot me, my family and friends.  ""I was so scared when he said that he was going to need a body bag and a clean-up crew to come to my address. ''He would punch, kick and shout at me and then I would get told off for flinching.  ""Even my dog was affected by what he did will need training to correct his behaviour.” At Chester Crown Court, Overton, from Macclesfield, was convicted of 25 offences including 13 counts of rape and four counts of sexual assault. He was also found guilty of three counts of controlling and coercive behaviour, three counts of actual bodily harm, one count of sexual touching and possession of a knife. Sentencing Judge Michael Leeming said he posed as a risk to women in the future. He said: ''All three women allowed you into their lives and in return you treated them with sustained violence and abuse.  ""You yourself admitted you were a control freak - but insisted that you always respected women. “However these were not respectful actions and in your words, these women were no match for you.  ""The trust, confidence and faith in human nature these victims once had would have not been damaged were it not for your relationships with them. ”You do show clear tropes of narcissism and are a compulsive liar.  ""You pose a significant risk of harm to women and any future women you have relationships with.” David Polglase, prosecuting, described Overton as a ""violent and manipulative bully"". He said: ''He appears to have been engaging and wildly generous to start, but also soon showed various darker traits, and was not honest about his background, including playing on supposed links to Tyson Fury. ''His behaviour was coercive, controlling, violent and descended into sexual offending.  ""All three victims describe sexual activity based on, at best submission or acquiescence and at worst violence, fear and coercion. ''The defendant is a violent and manipulative bully. He is someone who has to be in control of a situation. He is a fantasist.  ""He is a man who wants his own way. He is a man who does not take ‘no’ for an answer.  ""He has shown that to be that kind of person, with no respect for women, by the three complainants in this case.'' ",https://www.thesun.co.uk/news/21311011/violent-rapist-forced-victims-eat-poo/,
GAP,GAP,GAP,
NOT COVERED,BY LEFT,AND NOT COVERED BY CENTRE,
We’re fuming after Gary Glitter moved next door to our home – I’ve told our kids what to do if they see him,"GARY Glitter's new neighbours say they fear for their kids' safety after the pop paedo was released from jail. The pervert, 78, has been housed in a secret bail hostel close to a housing estate after serving just half of his 16-year sentence. Glitter, real name Paul Gadd, was released from HMP The Verne on the Isle of Portland, Dorset, under the cover of darkness on Friday. His strict licence conditions state he is prohibited from going anywhere near schools, playgrounds or swimming pools. But families living nearby say they are concerned and have slammed the decision to move him close to ten schools. Dad Jonathan Wilson said he has reminded his children, aged three, four and seven, not to speak to strangers. He told DorsetLive: ""Our children play in the woods which back onto their property, and we had to tell our kids like, don’t talk to them, don’t go near anyone there. ""Personally, I don’t like those sort of people full stop, the fact they’re slap bang in the middle of where we live. Talk about taking the p*** out of society. ""This is enemy number one, and they’ve released them into the community."" Jonathan said people in the area were ""pretty emotional"" when Glitter arrived. He added: ""People don’t want him around, certainly not in the middle of where people live. ""You’d think these people would be moved in the middle of a field, not where kids are."" Not long after Glitter arrived, cops were called after vigilantes climbed gates and stormed the grounds. Angry locals turned up when the location was shared on social media and screamed abuse at those leaving. It comes after we revealed the pop paedo was being treated like ""royalty"" and having his meals delivered to his room. The pervert is said to be “really happy and upbeat” at the hostel following his release from HMP Verne in Dorset in the early hours of Friday morning.  He was settled in and fitted with a GPS tag, before being reminded of his strict licence conditions. They include abiding by a nightly curfew, a ban on working without prior approval, no travel outside the UK and no contact with the media. He is also barred from living with anyone under the age of 18 and cannot go near schools, playgrounds or swimming pools. A Ministry of Justice spokesman said: ""Sex offenders like Paul Gadd are closely monitored by the police and Probation Service and face some of the strictest licence conditions including being fitted with a GPS tag. ""If the offender breaches these conditions at any point, they can go back behind bars. ""We’ve already introduced tougher sentences for the worst offenders and ended the automatic halfway release for serious crimes."" Glitter was one of the UK’s biggest glam rock stars of the 1970s and a familiar face on BBC TV chart show Top of the Pops. He had a string of hits including three UK No 1 singles: I’m the Leader of the Gang (I Am!), I Love You Love Me Love and Always Yours. Glitter’s fall from grace began in 1997 when he took a laptop into a Bristol branch of PC World for repair and an engineer found child abuse images on the hard drive.  Two years later the singer was jailed for four months after a total of 4,000 images were found by police in a subsequent investigation. He emigrated on release, before being kicked out of Cambodia in 2002 amid claims of committing sex crimes. Four years later he was jailed in neighbouring Vietnam for molesting two girls, one aged just ten. He escaped serious charges of child rape — which carried a death sentence — and returned to the  UK in 2008.  Glitter was forced to sign the sex offender register but he was arrested once again in 2012 at his multimillion-pound home in Westminster. Police would later describe him as a “habitual sexual predator who took advantage of the star status afforded to him."" And in 2015 he was convicted of attempted rape, four counts of indecent assault and one of having sex with a girl under 13 in the 1970s and 1980s.   ",https://www.thesun.co.uk/news/21310333/gary-glitter-moved-next-door/,
Fuming parents living next to secret bail hostel where Gary Glitter is being held say they fear for their children’s safety after he was released from jail,"A family were horrified to learn freed paedophile Gary Glitter had been moved in next door - forcing them to have a serious discussion with their young children about the dangers of speaking with strangers.The shamed pop star, 78, whose real name is Paul Gadd, was released from prison last week - eight years after he was jailed over child sex offences committed against three schoolgirls.He was moved into a bail hostel in the south of England surrounded by 10 schools - where sources at the facility said he was receiving VIP treatment and kept away from other residents.Father Jonathan Wilson told DorsetLive the community were all feeling 'pretty emotional' when they learned Glitter had been moved in.'This is enemy number one, and they've released them into the community,' he said. 'Our children play in the woods which back onto their property, and we had to tell our kids like, don't talk to them, don't go near anyone there.' Mr Wilson's children are aged three, four and seven.'You'd think these people would be moved in the middle of a field, not where kids are.' After word spread of Glitter's location online, vigilantes arrived within hours, shouting to passing motorists outside the hostel: 'Watch out, Glitter's in there!'One man shook the security gates and tried to scale the fence before four police cars arrived and spoke to the two men and a woman.After being spoken to by officers, one of the protesters told MailOnline: 'People aren't happy that they've put a nonce like Glitter here - there are loads of schools around here.' Glitter has been categorised as a 'level 3' offender.It means he is still seen as 'dangerous' and 'capable of causing serious harm' and will need senior probation staff to monitor him.Any breach of his licence conditions would see Glitter facing an instant return to jail.The shamed pop idol was caged for 16 years in 2015 for sex offences against three girls aged eight to 13.Because he was sentenced to a fixed term, he did not have to go before the Parole Board.Parole chiefs can block a prisoner's release if they believe they still pose a risk to the public.Glitter — was one of the UK's biggest glam rock stars of the 1970s and a familiar face of BBC's TV chart show Top of the Pops. He had a string of hits including three UK No1 singles: I'm the Leader of the Gang (I Am!), I Love You Love Me Love and Always Yours.By 1975, he had sold 18million records but by the end of the decade he was declared bankrupt.He made a comeback with his hit single Dance Me Up in 1984.Glitter's dramatic fall from grace began in 1997 when he took a laptop into a Bristol branch of PC World for repair.An engineer found child abuse images on the hard drive.Two years later the singer was jailed for four months after a total of 4,000 images were found by police in a subsequent investigation.Glitter emigrated on release, before being kicked out of Cambodia in 2002 amid claims of sex crimes.Four years later he was jailed in neighbouring Vietnam for molesting two girls, one aged just ten.He escaped serious charges of child rape — which carried a death sentence — and returned to the UK in 2008.He was forced to sign the sex offenders register, but he was arrested once again in 2012 at his multi-million pound home in Westminster.Police would later describe him as a 'habitual sexual predator who took advantage of the star status afforded to him'.And in 2015 he was convicted of attempted rape, four counts of indecent assault and one of having sex with a girl under 13 in the 1970s and 1980s.Sentencing, Judge Alistair McCreath said he could find 'no real evidence' that Glitter had atoned for his crimes.The judge said: 'It is difficult to overstate the depravity of this dreadful behaviour.'He added: 'You did all of them real and lasting damage and you did so for no other reason than to obtain sexual gratification for yourself of a wholly improper kind.'In June 2021 it was revealed Glitter had been given the green light for freedom.One of his child victims in Vietnam — whom he molested when she was just aged ten — said at the time: 'He will always be a terrible danger to young girls.'It's terrifying to think he might soon be free. I still have nightmares about what he did to me.'Glitter no longer owns the master rights to his songs — meaning he no longer receives any royalties.In 2019, his song Rock and Roll Part 2 featured in hit movie The Joker, but rights holders insisted he would not receive any royalties.",https://www.dailymail.co.uk/news/article-11726097/Family-furious-worried-childrens-safety-Gary-Glitter-moved-door.html,
FOUND IN RIGHT,,https://www.mirror.co.uk/3am/celebrity-news/convicted-paedophile-gary-glitters-appalled-29165054,
GAP,GAP,GAP,
NOT COVERED,BY LEFT,AND NOT COVERED BY CENTRE,
We live in tiny rural town where raunchy Outlander was filmed – rich Americans love it & the area is overrun by tourists,"RESIDENTS of a tiny village where raunchy TV show Outlander was filmed say the area is loved by rich Americans - and overrun by tourists. Culross, a rural town in Fife, Scotland, is home to only 400 people. But since the saucy period drama was filmed there, the village has been inundated by a ""huge number"" of visitors. Rich Americans have even snapped up shares in 600-year-old village pub the Red Lion. The historical drama stars Caitríona Balfe as Claire Randall - a former Second World War military nurse in Scotland. In 1945 she finds herself transported back in time to 1743. There she encounters, falls in love with and marries a dashing Highland warrior named Jamie Fraser, played by Sam Heughan. Red Lion Landlord Mike Brown, 51, said: ""The Outlander cast are in and out of the village quite a lot. ""The village itself dates back to 1510 and there's around 400 people living here. ""We are very busy for tourists - even in December, January, February. ""A lot of shareholders are Americans, they love Outlander. ""We get a lot of people who want to stand at the bar and take photos. ""We are quite a big success story, I don't know why. ""People are coming from all over Britain to ask how we have done it. He added: ""The TV link does help. The tourist interest in Outlander is massive. ""We get a huge amount of tourists all year round."" The Red Lion had previously been at risk after it piled up debt and its owners decided to sell up. But the local community took over the pub before leasing it to Mike, who has worked there for 24 years. He said: ""When it was decided to do the buyout, I was asked if I would be interested in leasing it as I'd worked there 24 years. ""We managed to secure the funding and took over on July 4. ""We raised around £6,000 or £7,000 out of £950,000. ""There's still more to do but we have professional fundraisers on board. ""There's 28 staff and they're all local. We are very busy, there are tour groups coming in four or five times a week. ""There was another pub that closed and became a B&B so we needed to make sure it always remains a pub. ""One of the main things was to keep it open for the community. ""It has been an inn for nearly 600 years. ""What we pay in rent goes back into the community. ""We put it back into the village, whether for seniors or for toddlers, if there's things the council won't pay for. Mike's wife has worked at the Red Lion for decades and his daughter began working there 13 years ago, when she was 14 years old. ",https://www.thesun.co.uk/news/21313608/town-where-raunchy-outlander-was-filmed/,
